Isp 90d, 90d
1920.0,-12.980475778341688
1940.0,-13.065549590991028
1960.0,-13.164444250709725
1980.0,-13.264355039735243
2000.0,-13.365242851020753
2020.0,-13.417078263196776
2040.0,-13.383082535581337
2060.0,-13.339927299787572
2080.0,-13.286328063343566
2100.0,-13.233292703273175
2120.0,-13.180795940800799
2140.0,-13.105455917663116
2160.0,-13.02573455334094
2180.0,-12.955737355720585
2200.0,-12.886058192767546
2220.0,-12.816677652659228
2240.0,-12.766290703781834
2260.0,-12.763468298242959
2280.0,-12.758441966685147
2300.0,-12.75094215931761
2320.0,-12.74396043321559
2340.0,-12.737484441146426
2360.0,-12.717507952489497
2380.0,-12.693126206289
2400.0,-12.655819316546403
2420.0,-12.61792077302758
2440.0,-12.580363882069914
2460.0,-12.544231547548234
2480.0,-12.512733394358092
2500.0,-12.472227228611642
2520.0,-12.4276321187718
2540.0,-12.38331331000043
2560.0,-12.339263865784698
2580.0,-12.290057704377707
2600.0,-12.23881680401765
2620.0,-12.200409612193758
2640.0,-12.162266564342229
2660.0,-12.124384841994635
2680.0,-12.091606097282583
2700.0,-12.09436727203034
2720.0,-12.066346684593181
2740.0,-12.006613359067908
2760.0,-11.947019139228788
2780.0,-11.887558665532776
2800.0,-11.845239362559754
2820.0,-11.816259411820878
2840.0,-11.804294044440343
2860.0,-11.792613059766405
2880.0,-11.781212984813315
2900.0,-11.76964897987599
2920.0,-11.747544861869565
2940.0,-11.724177266523366
2960.0,-11.699350941336442
2980.0,-11.674747580306406
3000.0,-11.650364709689908
3020.0,-11.634679507156461
3040.0,-11.6277762735856
3060.0,-11.591386227383962
3080.0,-11.553541912657721
3100.0,-11.51582775822356
3120.0,-11.478240952426303
3140.0,-11.42571759663013
3160.0,-11.376664086196904
3180.0,-11.33315994899803
3200.0,-11.289762160398961
3220.0,-11.246468535859409
3240.0,-11.205080498816699
3260.0,-11.166326694229657
3280.0,-11.126552970140544
3300.0,-11.086792535732775
3320.0,-11.04713591609326
3340.0,-11.00758144253061
3360.0,-10.988537568862148
3380.0,-10.97277674158413
3400.0,-10.957805542130895
3420.0,-10.942998292765987
3440.0,-10.92835384471929
3460.0,-10.907493187650084
3480.0,-10.874104024992846
3500.0,-10.840232454223656
3520.0,-10.80632115195283
3540.0,-10.772514448324758
3560.0,-10.738811491422364
3580.0,-10.723986892712453
Isp 180d, 180d
260.0,-7.165122252354819
280.0,-8.754521962970953
300.0,-9.194809605843503
320.0,-9.66445368059954
340.0,-9.947709101789625
360.0,-10.563646805399037
380.0,-11.460149195316756
400.0,-11.412077219125214
420.0,-11.305545388810222
440.0,-10.917676564263948
460.0,-10.489633105583316
480.0,-9.93415518282276
500.0,-9.36134546441717
520.0,-7.876222508057699
540.0,-6.680956307292719
560.0,-5.7833546141760355
580.0,-5.0079243919288405
600.0,-4.056833843657218
620.0,-3.303194654825514
640.0,-2.7675149824004524
660.0,-2.4494662739406854
680.0,-2.1168246974304843
700.0,-1.7803876929875901
720.0,-1.5387320335534875
740.0,-1.4642183945805711
760.0,-1.5542935258416408
780.0,-1.440169545798835
800.0,-1.419890869021629
820.0,-1.3834455475051988
840.0,-1.3944791342052907
860.0,-1.5121092668501352
880.0,-1.5949437098988162
900.0,-1.7285464022188477
920.0,-1.946656088173335
940.0,-2.152380005835969
960.0,-2.3249597362068464
