InjectionHeight,,TransferEfficiency,,SeparationMass,
X,Y,X,Y,X,Y
2005.3913754343007,11445.62801932367,1482.2416169934013,2.2786640297599234,2397.2082566932413,2198.1038647342975
2072.2869405272904,11598.5768921095,1549.2055526270383,2.2619583736993825,2483.216840384228,2169.867149758451
2139.18250562028,11761.52626811594,1620.153964816635,2.245158089474909,2527.8138837795545,2169.867149758451
2218.0237073370185,11946.829710144928,1695.243810143434,2.2297401334691536,2629.7499829688722,2141.6304347826062
2285.7156482049245,12111.543880837358,1762.8414600766828,2.2153432784376657,2730.6723891273296,2124.2632850241516
2355.796716397581,12275.787439613527,1829.8015264698388,2.2010026956209963,2824.0656720485094,2113.3937198067597
2432.2487907895693,12424.500805152979,1903.7736659812354,2.186865752613108,2935.558280536826,2085.157004830915
2509.497240956474,12585.68538647343,1973.2827207119853,2.1731227151089474,2992.8973363308173,2085.157004830915
2582.42250834526,12736.449275362318,2040.5956823981687,2.159556365910581,3082.09142312147,2056.92028985507
2644.3122828530604,12859.480676328501,2113.577595418216,2.144547217591999,3152.172491314126,2056.92028985507
2724.6071863811544,13020.609232420826,2183.725663625758,2.129873859065502,3222.2535595067825,2033.8175230566485
2796.6703453913806,13137.007246376812,2252.5987329809614,2.115210215697169,3292.3346276994384,2028.6835748792237
2862.2917092445036,13238.659420289854,2326.4112663225264,2.1012158773323266,3362.4156958920944,2028.6835748792237
2938.1066830165587,13351.606280193237,2394.16692426106,2.087653295736784,3432.4967640847503,2018.4156785243704
3012.7182445065177,13464.553140096617,2464.313310190132,2.074008229925014,3502.5778322774063,2000.446859903379
3091.0108318005355,13563.381642512077,2538.1022495761563,2.0605190302175496,3572.6589004700622,2000.446859903379
3166.507255262624,13667.504528985506,2610.981496879582,2.0464124493319744,3642.739968662718,2000.446859903379
3246.463383064245,13769.50966183575,2679.2144592769887,2.03334751725055,3715.210164180124,1982.7989130434762
3332.949792220182,13877.515096618357,2749.674106485637,2.023054827631035,3782.90210504803,1972.2101449275342
3395.180870631518,13944.57729468599,2834.160128949739,2.011806929782071,3852.983173240686,1972.2101449275342
3461.166291981746,14011.639492753622,2905.008305380504,2.0021553827730365,,
