Inject Height,,Sep. Mass Soyuz,,Sep. Mass Ariane62,,Sep. Mass Ariane64,,Trans. Eff. Soyuz,,Trans. Eff. Ariane62,,Trans. Eff. Ariane64,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2337.884506416054,12167.56797995882,3065.723077450967,2024.6984026618447,3169.617375174994,3222.5833550741318,,,2792.524719010309,203.99392709150356,2695.8927989732765,332.40259004963116,1926.0585026782505,754.3540241329932
2408.9426634193624,12319.443329656577,3136.5822822628115,2021.420517416569,3260.4876405256073,3195.040013777025,,,2863.3881270374663,203.2575773128773,2779.640463005371,329.4495206249326,2019.4693587140487,749.3223006457146
2479.996617207358,12468.04079410906,3207.426075285177,2006.1237196052844,3343.4931840837335,3174.507704810094,,,2934.2515350646236,202.21441512649028,2866.6091910387004,326.496451200234,2075.3011347354454,746.2541765681057
2551.050570995354,12616.63825856154,3278.2824779534794,2000.6605775298267,3429.764956748376,3149.325221338455,,,3005.114943091781,201.10989045855104,2950.3568550707955,323.3746349512669,2180.5225587757695,739.6270285604703
2622.112931213975,12771.791493504574,3349.1444849088666,1999.5679491147348,3518.084142834853,3125.9312665224697,,,3075.978351118938,200.8030780507903,3032.7240631023615,320.53004562788374,2247.091214801281,735.6793755806135
2693.162681786658,12917.11107271178,3419.9924811465435,1987.5490365487258,3603.6407656571155,3101.249571074417,,,3146.8417591460952,199.57582841974659,3121.07324713622,318.31223022321217,2335.133630835022,730.4226563276436
2764.1886141392365,13043.855968862426,3490.8418784559926,1976.6227523978068,3691.956098796224,3074.850888116929,,,3217.7051671732524,199.3917409750901,3206.6615191690203,315.9979880618158,2396.3338468584757,727.0170386014977
2835.182321841085,13145.470411465962,3561.7052864831494,1976.6227523978068,3777.516574565856,3053.173920810379,,,3288.5685752004097,198.22585382559862,3290.4091832011154,313.78017265714413,2489.744702894274,722.1387213180994
2906.1914413324134,13259.103766635506,3632.568694510307,1976.6227523978068,3865.8338341786493,3028.2776019236426,,,3359.431983227567,197.85767893628565,3383.3598872367365,311.46593049574767,2554.1659829189625,718.4109505638046
2977.1879511778034,13362.903466069225,3703.4180918197553,1965.696468246888,,,,,3430.2953912547246,196.81451674989864,3465.727095268303,308.9749059470224,2650.7979029559947,713.1797990114815
3048.1844610231933,13466.703165502944,3774.266088057433,1953.6775556808789,,,,,3501.1587992818813,196.44634186058556,3548.0943032998694,307.0302996864044,2717.3665589815064,709.8048625261115
3119.1669601508747,13559.576580785746,3845.1280950128194,1952.584927265787,,,,,3572.022207309039,195.46454215575068,3636.4434873337277,304.81248428173296,2805.408975015247,706.3685635591896
3190.1452560632433,13649.17211082327,3890.222991030101,1952.584927265787,,,,,3642.8856153361958,195.15772974798972,3727.349071368565,303.0125181562023,2847.2828070312944,704.4049641495199
3261.1305573344666,13744.230782936254,,,,,,,3713.7490233633534,194.2986550062593,3810.380943400386,301.01568073569183,2966.462175076968,699.7414155515543
3332.1060511032933,13831.641056143599,,,,,,,3784.612431390511,194.1145675616027,3874.8022234250748,299.63758167083245,3022.2939510983642,697.8800869444715
3403.073138441495,13912.495558860388,,,,,,,3855.475839417668,193.5009427460809,,,3127.5153751386893,694.2801546934104
3474.0416268514673,13994.442689992273,,,,,,,3897.3496714337152,193.10208661599177,,,3183.3471511600856,692.7051843335712
3545.0031099025864,14070.926679048696,,,,,,,,,,,3288.56857520041,688.9416187983709
3615.9673950972456,14149.595924935305,,,,,,,,,,,3344.400351221806,687.5302817226707
3686.926076004823,14223.894657161545,,,,,,,,,,,3449.6217752621315,684.5848826081661
3757.874949410003,14290.544990482145,,,,,,,,,,,3514.0430552868193,682.805370643153
3828.826624958725,14359.380580632926,,,,,,,,,,,3610.674975323852,679.9826964917528
3893.332747662872,14425.545301324595,,,,,,,,,,,3666.5067513452486,678.7554468607092
,,,,,,,,,,,,3771.728175385573,675.8714102277568
,,,,,,,,,,,,3827.559951406969,674.4805273125742
