Inject Height 90 d,,Inject Height 180 d,,Inject Height 360 d,,Sep. Mass 90 d,,Sep. Mass 180 d,,Sep. Mass 360 d,,Trans. Eff. 90 d,,Trans. Eff. 180 d,,Trans. Eff. 360 d,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3216.4954779234577,44308.80153574857,3306.097616301169,44308.80153574857,,,,,,,,,3792.9524466453217,-0.1848255541422077,3015.3053030381025,-0.1848255541422077,3530.176076690145,935.5031521749529
3298.63077143636,44308.80153574857,3388.2329098140717,44308.80153574857,,,,,,,,,3871.4648986441275,-0.1848255541422077,3097.5564432273277,-0.1848255541422077,3583.5859079818497,927.8138351302484
3380.7660649492623,44308.80153574857,3470.368203326974,44308.80153574857,,,,,,,,,,,3179.8075834165525,-0.1848255541422077,3714.439994646526,910.790798901761
3462.9013584621644,44308.80153574857,3552.503496839876,44308.80153574857,,,,,,,,,,,3262.0587236057777,-0.1848255541422077,3867.726210453718,891.3506389144238
3545.036651975067,44308.80153574857,3634.6387903527784,44308.80153574857,,,,,,,,,,,3344.309863795003,-0.1848255541422077,,
3627.1719454879694,44308.80153574857,3716.774083865681,44308.80153574857,,,,,,,,,,,3426.561003984228,-0.1848255541422077,,
3709.307239000871,44308.80153574857,3798.9093773785826,44308.80153574857,,,,,,,,,,,3508.812144173453,-0.1848255541422077,,
3791.4425325137736,44308.80153574857,3881.044670891485,44308.80153574857,,,,,,,,,,,3591.0632843626777,-0.1848255541422077,,
3873.577826026676,44308.80153574857,3929.59628830372,44331.318779437046,,,,,,,,,,,3673.314424551903,-0.1848255541422077,,
3925.857157274324,44323.81303154089,,,,,,,,,,,,,3755.565564741128,-0.1848255541422077,,
,,,,,,,,,,,,,,3837.8167049303534,-0.1848255541422077,,
,,,,,,,,,,,,,,3893.8970277866433,-0.1848255541422077,,
