Fig3_TE_360,,Fig3_TE_90,,Fig3_TE_180,,Fig3_SM_360,,Fig3_SM_180,,Fig3_SM_90,,Fig3_IH_360,,Fig3_IH_180,,Fig3_IH_90,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1954.6329780564192,525.1033155080214,2788.3974921630065,203.6595721925134,2591.8295924764852,273.7878509358289,3764.7250187828704,3932.029946524064,3401.114199849737,2663.6634581105172,3347.7584952978045,75.20352941176475,3433.3912471825693,3246.704812834225,3143.175174977263,8448.935772586547,2700.2411720510895,12959.67486631016
2039.0648275862,505.9401263976665,2899.2142946708436,202.42716577540114,2712.408827586203,269.7987165775402,3863.2945154019544,3887.920661157026,3527.5875281743047,2633.657040998218,3458.5752978056416,74.68556149732626,3569.7453042824945,3423.4337842088717,3259.1090592747837,8633.185702223473,2810.9053343350865,13138.760784313727
2139.3276489028144,488.7205347593583,3010.0310971786807,201.05187165775402,2813.7270470219396,267.57324064171127,185.95041322314057,7129.411764705881,3654.0608564988734,2605.651051693405,3569.3921003134787,74.20331550802143,3695.3526671675427,3583.196406417099,3375.6438767843724,8808.310873440285,2921.5694966190836,13307.844563279858
2242.228965517235,470.9792406417112,3120.8478996865174,199.89090909090913,2929.368526645764,265.0119786096257,,,3780.534184823441,2578.9786809269153,3680.2089028213154,73.63176470588235,3810.608564988729,3722.6875409557724,3486.8935637365394,8969.456446821154,3032.23365890308,13469.307664884136
2348.8499059561077,455.3324420677362,3231.6647021943545,198.53347593582885,3053.870711357604,262.25864253393667,,,3874.636363636364,2560.308021390376,3791.025705329153,73.50673796791443,3901.7377911344856,3823.911586452763,3596.0939143501128,9120.599881164588,3142.897821187077,13614.10053475936
2452.2531912225645,444.8736577540107,3342.4815047021916,197.22962566844922,3178.894796238241,259.69655614973266,,,,,3878.0960501567392,72.97537433155082,,,3705.0015026296014,9259.518478906715,3253.561983471074,13757.464527629234
2545.6559247648843,434.6714759358289,3453.2983072100287,196.21155080213902,3303.2810031347926,257.2960427807487,,,,,,,,,3817.422238918107,9401.244694624262,3364.2261457550712,13889.397504456329
2642.560661157019,424.47952357802626,3564.115109717866,194.96128342245993,3435.9596238244476,255.07235294117652,,,,,,,,,3892.9549211119465,9496.791443850267,3474.8903080390683,14012.757219251338
2746.1815673981137,415.29136980666397,3674.9319122257025,193.99679144385027,3558.838119122254,252.92010695187162,,,,,,,,,,,3585.5544703230653,14136.116934046346
2888.6603134796183,406.3279144385027,3785.748714733539,193.06802139037438,3688.12438871473,250.8884224598931,,,,,,,,,,,3696.2186326070623,14247.093048128343
3036.4160501567344,397.57604278074865,3902.923636363635,192.12673796791438,3813.7573571256294,249.1019827231592,,,,,,,,,,,3806.8827948910593,14356.640285204992
3189.4487774294616,390.12444919786094,195.5172413793091,96.17647058823525,3905.4109090909055,247.63772727272726,,,,,,,,,,,3885.928625093914,14432.84705882353
3339.843009404384,383.13545454545454,,,453.1034482758581,286.7647058823527,,,,,,,,,,,297.52066115702485,3011.764705882353
3495.514231974916,376.7715935828877,,,195.51724137930898,96.61764705882354,,,,,,,,,,,,
3637.992978056421,371.4008021390374,,,,,,,,,,,,,,,,
3773.6373667711564,366.6872727272728,,,,,,,,,,,,,,,,
3883.048025078369,363.7044705882354,,,,,,,,,,,,,,,,
192.413793103447,96.17647058823525,,,,,,,,,,,,,,,,
